,R_29,N_5,R_15,R_27,R_24,R_30,N_20,R_17,N_3,N_23,N_4,R_28,N_1,R_12,R_13,N_9,N_22,N_2,N_0,N_7,R_14,N_10,R_25,R_16,N_19,N_8,R_21,R_26,N_6,R_11,R_31,N_18
51_SCORE: CD8A,0.504739928504917,0.726674472548218,0.6817793227351765,0.6093909783422182,1.0,0.6624436051345776,0.7555199251536195,0.5749866496783854,0.07124323882949213,0.26169250898454477,0.400532355500111,0.8938070197542369,0.2324650330409639,0.47523103137042044,0.6520726703604633,0.5989254049098631,0.0,0.7310534580595055,0.20304405642211126,0.7651598745604571,0.708688160642015,0.3833031622838854,0.6258104923118947,0.578662153263276,0.8753431187424727,0.5963707595675107,0.5591346300844351,0.5683216355590762,0.14760800225388176,0.7832090710489323,0.5675711808922655,0.39519523165042136
52_SCORE: ZAP70,0.32831884600188044,0.7177387108206879,0.8043843875447453,0.6279363412371747,0.9323442226628306,0.9033215724915783,0.8998472339293144,0.6847334102707006,0.7046764747529115,0.30648352948827495,0.6452735620893995,0.889642923803996,0.7600794219071499,0.24896831977721678,0.9563876708393442,0.4512281584655561,0.47757175867548424,0.22024642265207406,0.5247324534706416,0.5461762975376112,0.0,0.30947047234052105,0.13366250435147486,0.1881581367006745,0.5445575269152658,0.7624491750970435,0.24119524392635544,0.1942376296346292,1.0,0.5876667103629214,0.22758903936264313,0.22791245117090814
83_SCORE: MAGEA1,0.25459606068403373,0.2586544152335589,0.2586544152335589,0.30345985874895065,0.6903270057411637,0.3584377298045278,0.2866218088218557,1.0,0.582961093198393,0.3951971058916782,0.0,0.5462741450960872,0.09120984393174036,0.25391961481469505,0.41195765951886665,0.4214243178050203,0.6807457399911345,0.5771094606909806,0.35295556151417384,0.09901348099327145,0.43150527768109764,0.393708650261527,0.28975031407523055,0.27566959580932837,0.629567159285422,0.5567741462118911,0.1757071150581523,0.2734951432903466,0.31341265307698124,0.4183572482697096,0.19013709332394368,0.3400241954831032
53_SCORE: MARCO,0.38077572033889884,0.36485571837814923,0.513022467380604,0.36982285485425015,0.19375783308062222,0.4328213350564078,0.9999999999999999,0.7534989929985199,0.8574223210133055,0.832917665067476,0.7188981838247497,0.30029919077867717,0.6168091114936451,0.3587328542762761,0.38980453426704803,0.33622677349948465,0.9745739182537112,0.16685736697594217,0.46927036875217354,0.5235896072093401,0.0,0.049752152002204064,0.1919053782113732,0.8035996390764935,0.45208049666126493,0.37561154075885955,0.3462950565908717,0.7591241197158662,0.6358862221816822,0.8723953281784236,0.3267600056393014,0.3398779288268379
54_SCORE: CCL24,0.38396031485536,0.42388483135582566,0.4168231315779929,0.4211738717056074,0.7632114716431042,0.46481858676393806,0.6870778461819174,0.04887628173939795,0.564639639147482,0.43094653122657345,0.4878601902941035,0.6476186997652248,0.3677690213662613,0.37848274596492015,0.4905615017914052,0.41292293296788135,0.0,1.0,0.6026535547602854,0.10585975292993749,0.477238849153326,0.5735894682441384,0.40089304142499904,0.5211256830289426,0.5114352479185336,0.595315466374171,0.33947212237281554,0.5068649674039343,0.671128868989343,0.3499416872587047,0.34724376096789916,0.7864114630784775
"8_SCORE: C3, C7",0.1029372377657144,0.28856161092654153,0.33002968696410456,0.21501611410114804,0.35158235503671914,0.3698728606184354,0.2962228093809975,0.6054899858300143,0.3438770517261377,0.31829052471497876,0.7029131805532766,0.34439004410786694,0.5318080042575661,0.06508550565517363,0.3912432055778562,0.19503928813279478,0.6239823823326531,0.47139550863060464,0.41776111264715937,0.5668643146779713,0.47143170970753334,0.0,0.2143438556247688,1.0,0.5506857117392033,0.4227826457032924,0.007514263473394567,0.9065320021308454,0.3775935975603441,0.6426378772698926,0.03368457915368234,0.5372064152735112
55_SCORE: CTCFL,0.2889099025918481,0.44470464581303576,0.43679461584091733,0.24097388759684116,0.26792346586921373,0.24515420518894196,0.0,1.0,0.3467397514917463,0.4791426594531363,0.3712384918284011,0.3242772227877205,0.20200165263620187,0.2642605028918268,0.14236566431294234,0.19004964233690796,0.6208893645986804,0.13530636125678233,0.3327173919891193,0.335912591071972,0.1119034511554606,0.2006488980944804,0.24777335336047643,0.4240393016208913,0.32186283365646123,0.23823736671791218,0.3570819652315902,0.40806542966845144,0.3446247990053757,0.17568784287838762,0.3432510581090376,0.4200596961790439
56_SCORE: CR2,0.2821820577689568,0.34950538740769566,0.22875047912025012,0.4382753866473602,0.9999999999999999,0.5498915175915566,0.9359626031893008,0.23700745245436333,0.38485371505803195,0.2812700846107075,0.5518715178997791,0.7426273935455827,0.5768034457671565,0.291088024516831,0.7221392113194481,0.14240558157875405,0.19774647873941778,0.13242590328291248,0.30141832296489585,0.3210337449166223,0.3906570336901584,0.2867857172777071,0.2318203086979156,0.3702165100305574,0.05935304041211503,0.5192657848594947,0.10403467228185448,0.3623056463525164,0.5122785903045937,0.0,0.12020349227337335,0.0477160148495227
"12_SCORE: CD24, EPCAM",0.6441879264531112,0.0,0.3460213299757311,0.3526485864118149,0.17238128793926813,0.2643640127426956,0.09606231897913986,0.033057954868082384,0.07344821064494234,0.5865071714072984,0.48512874599033673,0.23032646520537747,0.19796663641636061,0.6938862857513273,0.220566170410396,0.46670251826510994,0.4411514113192362,0.9595942830481095,0.31776810871980377,0.3977177703203044,0.021542276566291374,0.652949606397213,0.2912162380878072,0.1241819655627491,0.19860157706682788,0.1353072364752433,0.5081714718320831,0.18113810701475475,0.09528071152783474,0.47457856878910387,0.48071995052645256,1.0
57_SCORE: CXCL9,0.6151278646301964,1.0,0.7228975373388274,0.6212251657415359,0.4035646905728429,0.6650274895344485,0.28268339565290457,0.7653562890662475,0.9685655687115755,0.0,0.5716369548809948,0.5101288113581898,0.19470344135510298,0.5971648332946892,0.6339882230561544,0.4188776963167214,0.09410883261327663,0.27182728149751306,0.2923618155104064,0.9030011654535282,0.5930257353779526,0.16882061273577792,0.6003248563390159,0.6150694587471369,0.2321594030043237,0.3913370853861963,0.6061970676763677,0.6132794453247756,0.44019062336942505,0.5394651253191459,0.6054540520235232,0.3418275801088496
58_SCORE: FCER1A,0.6193261822477585,0.8271934398659788,1.0,0.5321032404961028,0.2401738236816831,0.617395215277237,0.7832113275734769,0.0,0.10915251515111057,0.9947985317036268,0.8224869638427417,0.4937343616879423,0.9239552462304861,0.5558755328672206,0.41218073352970785,0.6372714639563245,0.5255463102349492,0.3084751232848553,0.5147128455042261,0.8414940785661126,0.9406495301655242,0.8778669746140578,0.7924977300218711,0.7345017291875378,0.4187581730821408,0.3245037984869619,0.6733082159566173,0.7166435902475239,0.5267534898293341,0.8831357842141054,0.6883893616303218,0.5936183724451634
59_SCORE: TCF7,0.04826411950277043,0.438911487329473,0.3378259571032199,0.4804523049580557,1.0,0.6256702000150001,0.7602690216890771,0.5990840843790517,0.22586506987609156,0.2792179834273675,0.25080317550924414,0.7790268198126041,0.7675090754743892,0.0,0.7800587740521814,0.5808319963493548,0.5837478925762318,0.15360092336791492,0.33533613081903885,0.16240894851487092,0.43763091501783863,0.6261727696084269,0.265863566762696,0.31794444205727057,0.09575627096734762,0.5031579909253537,0.12767512253889002,0.2861579732277926,0.9609811107575681,0.2347845715765929,0.14516021822122288,0.2051391014174236
60_SCORE: CCL18,0.32588762444044594,0.6460615306550639,0.4537116557190893,0.5407511080341334,0.3820082927005696,0.8092844419178487,0.4349785210519531,0.8423649284821584,0.9935744567372833,0.2353879735401314,0.6131911431968069,0.405936322387477,0.31786070534549954,0.30458193591435295,1.0,0.12979486316449457,0.8561772308544063,0.4415437101139147,0.29131545401919023,0.5449378116009327,0.2854088525158613,0.07398558191041715,0.1272446144059315,0.39700917518926965,0.635895282184636,0.24246743861187547,0.0,0.3877687697234693,0.661224399118659,0.7192935940980829,0.016100364038732606,0.41477149578333583
